scene,floor,question,choices,question_formatted,answer,label,source_image,target_objects,contextual_descriptions,enriched_question
00617-AENiMBDjVFb,0,Does the dining table in the dining area share the same color as the work desk in the bedroom?,"['Yes', 'No', 'Only the legs', 'Only the surfaces']",Does the dining table in the dining area share the same color as the work desk in the bedroom? A) Yes B) No C) Only the legs D) Only the surfaces. Answer:,B,Attribute,00617-AENiMBDjVFb_1.png,"[""dining table"", ""work desk""]","{""dining table"": ""the wooden dining table in the center of the dining area"", ""work desk"": ""the black office desk against the wall near the window""}",Does the wooden dining table in the center of the dining area in the dining area share the same color as the black office desk against the wall near the window in the bedroom?
00166-RaYrxWt5pR1,0,Is the mirror larger than the painting in the room?,"['Yes', 'No', 'Both are the same size', 'Cannot determine']",Is the mirror larger than the painting in the room? A) Yes B) No C) Both are the same size D) Cannot determine. Answer:,B,Comparison,00166-RaYrxWt5pR1_0.png,"[""mirror"", ""painting""]","{""mirror"": ""the rectangular silver-framed mirror above the dark wooden console"", ""painting"": ""the small framed painting on the wall next to the window""}",Is the rectangular silver-framed mirror above the dark wooden console larger than the small framed painting on the wall next to the window in the room?
00144-7CXbc73tDRf,0,Is the bed larger than the television?,"['Yes', 'No', 'Cannot be determined', 'They are the same size']",Is the bed larger than the television? A) Yes B) No C) Cannot be determined D) They are the same size. Answer:,B,Comparison,00144-7CXbc73tDRf_1.png,"[""bed"", ""television""]","{""bed"": ""the white bed with a blue throw at the center of the room next to the bedside table"", ""television"": ""the black television mounted on the wall above a glass shelf in the corner""}",Is the white bed with a blue throw at the center of the room next to the bedside table larger than the black television mounted on the wall above a glass shelf in the corner?
00168-bHKTDQFJxTw,0,Is the bar counter closer to the pillar in the second image or in the third image?,"['Second image', 'Third image', 'Both equally', 'Neither']",Is the bar counter closer to the pillar in the second image or in the third image? A) Second image B) Third image C) Both equally D) Neither. Answer:,A,Relationship,00168-bHKTDQFJxTw_1.png,"[""bar counter"", ""pillar""]","{""bar counter"": ""the long black bar counter against the back wall"", ""pillar"": ""the red pillar in the center of the room""}",Is the long black bar counter against the back wall closer to the red pillar in the center of the room in the second image or in the third image?
00189-KHhgcNqsc9h,0,Is the fireplace closer to the window in the living room or in the basement?,"['Living room', 'Basement', 'The distance is the same', 'Cannot tell']",Is the fireplace closer to the window in the living room or in the basement? A) Living room B) Basement C) The distance is the same D) Cannot tell. Answer:,A,Relationship,00189-KHhgcNqsc9h_0.png,"[""fireplace"", ""window""]","{""fireplace"": ""the stone fireplace next to the red accent chair"", ""window"": ""the large window above the wooden floor, overlooking the garden""}","Is the stone fireplace next to the red accent chair closer to the large window above the wooden floor, overlooking the garden in the living room or in the basement?"
00090-C8VQQtzUoqV,0,Does the window allow more natural light into the room than the lamp in the room?,"['Yes', 'No', 'They provide equal light', 'Not enough information']",Does the window allow more natural light into the room than the lamp in the room? A) Yes B) No C) They provide equal light D) Not enough information. Answer:,A,Comparison,00090-C8VQQtzUoqV_0.png,"[""window"", ""lamp""]","{""window"": ""the rectangular window with blinds above the wooden floor"", ""lamp"": ""the white lampshade lamp next to the window""}",Does the rectangular window with blinds above the wooden floor allow more natural light into the room than the white lampshade lamp next to the window in the room?
00027-cVppJowrUqs,0,Does the refrigerator in the kitchen have more height than the bathroom sink?,"['Yes', 'No', 'Same height', 'Cannot determine']",Does the refrigerator in the kitchen have more height than the bathroom sink? A) Yes B) No C) Same height D) Cannot determine. Answer:,A,Comparison,00027-cVppJowrUqs_1.png,"[""refrigerator"", ""bathroom sink""]","{""refrigerator"": ""the white refrigerator next to the wooden table"", ""bathroom sink"": ""the white ceramic bathroom sink in front of the tiled wall""}",Does the white refrigerator next to the wooden table in the kitchen have more height than the white ceramic bathroom sink in front of the tiled wall?
00466-xAHnY3QzFUN,0,Is the bed closer to the painting in the first bedroom or the second bedroom?,"['First bedroom', 'Second bedroom', 'They are equally close', 'There is no painting in either room']",Is the bed closer to the painting in the first bedroom or the second bedroom? A) First bedroom B) Second bedroom C) They are equally close D) There is no painting in either room. Answer:,A,Relationship,00466-xAHnY3QzFUN_1.png,"[""bed"", ""painting""]","{""bed"": ""the queen-sized bed with a light gray headboard in the center of the room"", ""painting"": ""the abstract painting with geometric patterns above the bed""}",Is the queen-sized bed with a light gray headboard in the center of the room closer to the abstract painting with geometric patterns above the bed in the first bedroom or the second bedroom?
00778-vj4rZPfVjBQ,0,Is the color of the cabinets the same as the window frame's in the kitchen?,"['Yes', 'No', 'Partially', 'Unknown']",Is the color of the cabinets the same as the window frame's in the kitchen? A) Yes B) No C) Partially D) Unknown. Answer:,A,Attribute,00778-vj4rZPfVjBQ_1.png,"[""cabinets"", ""window frame""]","{""cabinets"": ""the white wooden cabinets above the countertop"", ""window frame"": ""the brown wooden window frame next to the white wall""}",Is the color of the white wooden cabinets above the countertop the same as the brown wooden window frame next to the white wall's in the kitchen?
00827-BAbdmeyTvMZ,0,Is the cabinet higher than the door in the house?,"['Yes', 'No', 'Same height', 'Cannot determine']",Is the cabinet higher than the door in the house? A) Yes B) No C) Same height D) Cannot determine. Answer:,B,Comparison,00827-BAbdmeyTvMZ_0.png,"[""cabinet"", ""door""]","{""cabinet"": ""the white wooden cabinet above the counter"", ""door"": ""the white double door next to the wall""}",Is the white wooden cabinet above the counter higher than the white double door next to the wall in the house?
00460-LViDMxZp4ZN,0,Does the door have the same color as the window?,"['Yes', 'No', 'They are partially the same', ""It's hard to tell""]",Does the door have the same color as the window? A) Yes B) No C) They are partially the same D) It's hard to tell. Answer:,B,Comparison,00460-LViDMxZp4ZN_0.png,"[""door"", ""window""]","{""door"": ""the white glass door leading to the balcony next to the dining area"", ""window"": ""the clear glass window above the indoor table""}",Does the white glass door leading to the balcony next to the dining area have the same color as the clear glass window above the indoor table?
00073-bCFcvb4zc3N,0,Does the clock sit on top of the dresser?,"['Yes', 'No', 'Partially', 'Not visible']",Does the clock sit on top of the dresser? A) Yes B) No C) Partially D) Not visible. Answer:,A,Relationship,00073-bCFcvb4zc3N_0.png,"[""clock"", ""dresser""]","{""clock"": ""the round silver clock on top of the wooden dresser"", ""dresser"": ""the brown wooden dresser against the wall with decorative items on it""}",Does the round silver clock on top of the wooden dresser sit on top of the brown wooden dresser against the wall with decorative items on it?
00465-nvjM2xMma91,0,Is the bed in the bedroom farther from the window than the couch is from the window in the living room?,"['Yes', 'No', 'Cannot determine', 'They are equidistant']",Is the bed in the bedroom farther from the window than the couch is from the window in the living room? A) Yes B) No C) Cannot determine D) They are equidistant. Answer:,A,Comparison,00465-nvjM2xMma91_0.png,"[""bed"", ""window"", ""couch"", ""window""]","{""bed"": ""the red and gold bedspread covering the bed in the corner of the room"", ""window"": ""the white-framed window next to the bed"", ""couch"": ""the brown leather couch against the wall opposite the bed""}",Is the red and gold bedspread covering the bed in the corner of the room in the bedroom farther from the white-framed window next to the bed than the brown leather couch against the wall opposite the bed is from the white-framed window next to the bed in the living room?
00272-kA2nG18hCAr,0,Is the exercise equipment closer to the furnace than to the shelves in the basement?,"['Yes', 'No', 'Same distance', 'Not applicable']",Is the exercise equipment closer to the furnace than to the shelves in the basement? A) Yes B) No C) Same distance D) Not applicable. Answer:,A,Relationship,00272-kA2nG18hCAr_0.png,"[""exercise equipment"", ""furnace"", ""shelves""]","{""exercise equipment"": ""the gray exercise bike next to the shelving unit"", ""furnace"": ""the metallic furnace located against the wall behind the exercise equipment"", ""shelves"": ""the wooden shelves filled with boxes on the back wall""}",Is the gray exercise bike next to the shelving unit closer to the metallic furnace located against the wall behind the exercise equipment than to the wooden shelves filled with boxes on the back wall in the basement?
00820-mL8ThkuaVTM,0,Is the door in the hallway open while the door in the bedroom is closed?,"['Yes', 'No', 'Both are open', 'Both are closed']",Is the door in the hallway open while the door in the bedroom is closed? A) Yes B) No C) Both are open D) Both are closed. Answer:,A,Attribute,00820-mL8ThkuaVTM_0.png,"[""door"", ""hallway"", ""door"", ""bedroom""]","{""door"": ""the white wooden door leading to the bedroom"", ""hallway"": ""the narrow hallway in front of the door"", ""bedroom"": ""the beige carpeted bedroom next to the hallway""}",Is the white wooden door leading to the bedroom in the narrow hallway in front of the door open while the white wooden door leading to the bedroom in the beige carpeted bedroom next to the hallway is closed?
00603-Xfhi9GYbhqD,0,Is the bed closer to the wardrobe than the door in the bedroom?,"['Yes', 'No', 'Equally distant', 'Cannot determine']",Is the bed closer to the wardrobe than the door in the bedroom? A) Yes B) No C) Equally distant D) Cannot determine. Answer:,A,Comparison,00603-Xfhi9GYbhqD_0.png,"[""bed"", ""wardrobe"", ""door""]","{""bed"": ""the beige upholstered bed in front of the wall with a painting"", ""wardrobe"": ""the ornate white wardrobe against the wall next to the door"", ""door"": ""the wooden door next to the wardrobe""}",Is the beige upholstered bed in front of the wall with a painting closer to the ornate white wardrobe against the wall next to the door than the wooden door next to the wardrobe in the bedroom?
00249-PYHRaSotJNh,0,Is the TV smaller than the Mirror in the room?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the TV smaller than the Mirror in the room? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00249-PYHRaSotJNh_1.png,"[""TV"", ""Mirror""]","{""tv"": ""the black flat-screen TV mounted on the wall next to the wooden cabinet"", ""mirror"": ""the rectangular silver mirror above the wooden cabinet""}",Is the black flat-screen TV mounted on the wall next to the wooden cabinet smaller than the rectangular silver mirror above the wooden cabinet in the room?
00302-JFgrz9MNz4b,0,Does the door in the house share the same color as the window in the kitchen?,"['Yes', 'No', 'Somewhat', 'Cannot determine']",Does the door in the house share the same color as the window in the kitchen? A) Yes B) No C) Somewhat D) Cannot determine. Answer:,B,Comparison,00302-JFgrz9MNz4b_0.png,"[""door"", ""window""]","{""door"": ""the white wooden door next to the wall"", ""window"": ""the rectangular window with a sheer curtain above the kitchen countertop""}",Does the white wooden door next to the wall in the house share the same color as the rectangular window with a sheer curtain above the kitchen countertop in the kitchen?
00450-LGGnLUDPz37,0,Does the picture frame hang closer to the door in the hallway or in the office?,"['Hallway', 'Office', 'Same distance', 'Cannot determine']",Does the picture frame hang closer to the door in the hallway or in the office? A) Hallway B) Office C) Same distance D) Cannot determine. Answer:,A,Relationship,00450-LGGnLUDPz37_0.png,"[""picture frame"", ""door""]","{""picture frame"": ""the wooden picture frame on the wall above the table"", ""door"": ""the white double door next to the wall with patterned wallpaper""}",Does the wooden picture frame on the wall above the table hang closer to the white double door next to the wall with patterned wallpaper in the hallway or in the office?
00313-PE6kVEtrxtj,0,Is the couch smaller than the bed in the bedroom?,"['Yes', 'No', 'Unsure', 'Same size']",Is the couch smaller than the bed in the bedroom? A) Yes B) No C) Unsure D) Same size. Answer:,A,Comparison,00313-PE6kVEtrxtj_1.png,"[""couch"", ""bed""]","{""couch"": ""the gray fabric couch against the wall next to the bed"", ""bed"": ""the yellow and white bed in front of the gray couch""}",Is the gray fabric couch against the wall next to the bed smaller than the yellow and white bed in front of the gray couch in the bedroom?
00705-2XVvKEDd54w,0,Is the ceiling fan in the same room as the sofa?,"['Yes', 'No', 'Depends on perspective', 'Cannot be determined']",Is the ceiling fan in the same room as the sofa? A) Yes B) No C) Depends on perspective D) Cannot be determined. Answer:,A,Relationship,00705-2XVvKEDd54w_0.png,"[""ceiling fan"", ""sofa""]","{""ceiling fan"": ""the brown wooden ceiling fan above the living room area"", ""sofa"": ""the beige fabric sofa in front of the window""}",Is the brown wooden ceiling fan above the living room area in the same room as the beige fabric sofa in front of the window?
00759-8iCxzGNmp4g,0,Does the ceiling fan share the same color as the floor lamp in the room?,"['Yes', 'No', 'Partially', 'Cannot determine']",Does the ceiling fan share the same color as the floor lamp in the room? A) Yes B) No C) Partially D) Cannot determine. Answer:,B,Attribute,00759-8iCxzGNmp4g_0.png,"[""ceiling fan"", ""floor lamp""]","{""ceiling fan"": ""the brown wooden ceiling fan above the living room"", ""floor lamp"": ""the black floor lamp next to the gray armchair""}",Does the brown wooden ceiling fan above the living room share the same color as the black floor lamp next to the gray armchair in the room?
00154-2dZ1Jivh5if,0,Does the cabinet in the living area share the same color as the microwave in the kitchen?,"['Yes', 'No', 'Cannot determine', 'They are identical in color']",Does the cabinet in the living area share the same color as the microwave in the kitchen? A) Yes B) No C) Cannot determine D) They are identical in color. Answer:,B,Comparison,00154-2dZ1Jivh5if_1.png,"[""cabinet"", ""microwave""]","{""cabinet"": ""the white glass-fronted cabinet next to the kitchen entrance"", ""microwave"": ""the stainless steel microwave next to the black stove""}",Does the white glass-fronted cabinet next to the kitchen entrance in the living area share the same color as the stainless steel microwave next to the black stove in the kitchen?
00839-zt1RVoi7PcG,0,Is the bed in the bedroom larger than the lamp?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the bed in the bedroom larger than the lamp? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00839-zt1RVoi7PcG_1.png,"[""bed"", ""lamp""]","{""bed"": ""the gray upholstered bed in the center of the room"", ""lamp"": ""the white lamp on the bedside table next to the bed""}",Is the gray upholstered bed in the center of the room in the bedroom larger than the white lamp on the bedside table next to the bed?
00004-VqCaAuuoeWk,0,Is the door in the bedroom closer to the ceiling than the blades of the ceiling fan?,"['Yes', 'No', 'They are equal', 'Cannot be determined']",Is the door in the bedroom closer to the ceiling than the blades of the ceiling fan? A) Yes B) No C) They are equal D) Cannot be determined. Answer:,B,Comparison,00004-VqCaAuuoeWk_1.png,"[""door"", ""ceiling"", ""blades of the ceiling fan""]","{""door"": ""the white door next to the bathroom entrance"", ""ceiling"": ""the smooth white ceiling above the living area"", ""blades of the ceiling fan"": ""the brown wooden blades of the ceiling fan above the room""}",Is the white door next to the bathroom entrance in the bedroom closer to the smooth white ceiling above the living area than the brown wooden blades of the ceiling fan above the room?
00429-UZ5rYGiwQgW,0,Are the server racks visible through the glass wall in the room?,"['Yes', 'No', 'Partially', 'Cannot determine']",Are the server racks visible through the glass wall in the room? A) Yes B) No C) Partially D) Cannot determine. Answer:,A,Relationship,00429-UZ5rYGiwQgW_0.png,"[""server racks"", ""glass wall""]","{""server racks"": ""the metallic server racks lined against the far wall"", ""glass wall"": ""the transparent glass wall adjacent to the server racks""}",Are the metallic server racks lined against the far wall visible through the transparent glass wall adjacent to the server racks in the room?
00523-PK83UqrXjd3,0,Does the window in the house appear closer to the radiator in the bedroom or the hallway?,"['Bedroom', 'Hallway', 'Both are equidistant', 'None']",Does the window in the house appear closer to the radiator in the bedroom or the hallway? A) Bedroom B) Hallway C) Both are equidistant D) None. Answer:,A,Relationship,00523-PK83UqrXjd3_0.png,"[""window"", ""radiator""]","{""window"": ""the large window in front of the wall with the decorative trees"", ""radiator"": ""the white metal radiator next to the window""}",Does the large window in front of the wall with the decorative trees in the house appear closer to the white metal radiator next to the window in the bedroom or the hallway?
00166-RaYrxWt5pR1,0,Is the bed in the bedroom larger than the sofa in the living room?,"['Yes', 'No', 'They are the same size', 'Cannot determine']",Is the bed in the bedroom larger than the sofa in the living room? A) Yes B) No C) They are the same size D) Cannot determine. Answer:,A,Comparison,00166-RaYrxWt5pR1_1.png,"[""bed"", ""sofa""]","{""bed"": ""the blue upholstered bed against the wall next to the window"", ""sofa"": ""the light gray sofa in front of the coffee table""}",Is the blue upholstered bed against the wall next to the window in the bedroom larger than the light gray sofa in front of the coffee table in the living room?
00533-wDDRygUCLMm,0,Is the door closer to the closet than to the chairs in the room?,"['Yes', 'No', 'Same distance', 'Cannot determine']",Is the door closer to the closet than to the chairs in the room? A) Yes B) No C) Same distance D) Cannot determine. Answer:,A,Relationship,00533-wDDRygUCLMm_0.png,"[""door"", ""closet"", ""chairs""]","{""door"": ""the white door leading out of the room in front of the closet"", ""closet"": ""the wooden closet with shelves on the wall next to the door"", ""chairs"": ""the light gray upholstered chairs beside the large window""}",Is the white door leading out of the room in front of the closet closer to the wooden closet with shelves on the wall next to the door than to the light gray upholstered chairs beside the large window in the room?
00211-hmRxh2mmzNC,0,Does the couch share the same color as the crib?,"['Yes', 'No', 'Only partially', 'Unable to determine']",Does the couch share the same color as the crib? A) Yes B) No C) Only partially D) Unable to determine. Answer:,B,Attribute,00211-hmRxh2mmzNC_0.png,"[""couch"", ""crib""]","{""couch"": ""the brown leather couch in front of the fireplace"", ""crib"": ""the white wooden crib next to the blue wall""}",Does the brown leather couch in front of the fireplace share the same color as the white wooden crib next to the blue wall?
00372-GMwtBqNLGBs,0,Are the blinds in the room fully covering the windows?,"['Yes', 'No', 'Partially', 'Not visible']",Are the blinds in the room fully covering the windows? A) Yes B) No C) Partially D) Not visible. Answer:,C,Attribute,00372-GMwtBqNLGBs_1.png,"[""blinds"", ""windows""]","{""blinds"": ""the white horizontal blinds above the window"", ""windows"": ""the large glass windows in front of the room""}",Are the white horizontal blinds above the window in the room fully covering the large glass windows in front of the room?
00039-ANmWrL7Kz7h,0,Are the window curtains closer to the fireplace than the chair?,"['Yes', 'No', 'They are equidistant', 'Cannot be determined']",Are the window curtains closer to the fireplace than the chair? A) Yes B) No C) They are equidistant D) Cannot be determined. Answer:,A,Relationship,00039-ANmWrL7Kz7h_0.png,"[""window curtains"", ""fireplace"", ""chair""]","{""window curtains"": ""the golden fabric curtains on the window beside the chair"", ""fireplace"": ""the dark wooden fireplace underneath the framed artwork"", ""chair"": ""the wooden chair with a cushioned seat in front of the fireplace""}",Are the golden fabric curtains on the window beside the chair closer to the dark wooden fireplace underneath the framed artwork than the wooden chair with a cushioned seat in front of the fireplace?
00465-nvjM2xMma91,1,How many chairs are in the living room?,"['10', '12', '8', '6']",How many chairs are in the living room? A) 10 B) 12 C) 8 D) 6. Answer:,A,Counting,,"[""chairs""]",,
00407-NPHxDe6VeCc,0,How many pillows are in the living room?,"['12', '8', '15', '10']",How many pillows are in the living room? A) 12 B) 8 C) 15 D) 10. Answer:,A,Counting,,"[""pillows""]",,
00016-qk9eeNeR4vw,1,How many pictures are in the living room?,"['5', '8', '15', '3']",How many pictures are in the living room? A) 5 B) 8 C) 15 D) 3. Answer:,A,Counting,,"[""pictures""]",,
00513-9oGV6Y9nNqB,1,How many sofas are in the living room?,"['4', '5', '6', '3']",How many sofas are in the living room? A) 4 B) 5 C) 6 D) 3. Answer:,A,Counting,,"[""sofas""]",,
00370-RcuYAHzrjK7,1,How many sinks are in the kitchen?,"['1', '3', '2', '0']",How many sinks are in the kitchen? A) 1 B) 3 C) 2 D) 0. Answer:,A,Counting,,"[""sinks""]",,
00173-qZ4B7U6XE5Y,1,How many candles and jars are in the living room?,"['2 candles and 1 jar', '1 candle and 2 jars', '3 candles and 2 jars', '1 candle and 1 jar']",How many candles and jars are in the living room? A) 2 candles and 1 jar B) 1 candle and 2 jars C) 3 candles and 2 jars D) 1 candle and 1 jar. Answer:,A,Counting,,"[""candles"", ""jars""]",,
00327-xgLmjqzoAzF,1,How many shoes and clothes are in the closet?,"['3 shoes and 2 clothes', '2 shoes and 3 clothes', '1 shoe and 4 clothes', '4 shoes and 1 clothes']",How many shoes and clothes are in the closet? A) 3 shoes and 2 clothes B) 2 shoes and 3 clothes C) 1 shoe and 4 clothes D) 4 shoes and 1 clothes. Answer:,B,Counting,,"[""shoes"", ""clothes""]",,
00378-DqJKU7YU7dA,1,How many lamps are in the living room?,"['5', '7', '3', '6']",How many lamps are in the living room? A) 5 B) 7 C) 3 D) 6. Answer:,B,Counting,,"[""lamps""]",,
00207-FRQ75PjD278,2,How many books are in the library?,"['8', '10', '7', '9']",How many books are in the library? A) 8 B) 10 C) 7 D) 9. Answer:,B,Counting,,"[""books""]",,
00508-4vwGX7U38Ux,1,How many papers are in the Northeast and Midwest regions?,"['2', '4', '5', '3']",How many papers are in the Northeast and Midwest regions? A) 2 B) 4 C) 5 D) 3. Answer:,C,Counting,,"[""papers""]",,
00238-j6fHrce9pHR,1,How many pictures are in the living room?,"['50', '42', '38', '45']",How many pictures are in the living room? A) 50 B) 42 C) 38 D) 45. Answer:,A,Counting,,"[""pictures""]",,
00463-URjpCob8MGw,1,How many radiators are in the living room?,"['10', '8', '12', '6']",How many radiators are in the living room? A) 10 B) 8 C) 12 D) 6. Answer:,B,Counting,,"[""radiators""]",,
00384-ceJTwFNjqCt,1,How many clocks are in the living room and the kitchen?,"['4', '1', '3', '2']",How many clocks are in the living room and the kitchen? A) 4 B) 1 C) 3 D) 2. Answer:,D,Counting,,"[""clocks""]",,
00064-gQgtJ9Stk5s,1,How many books are in the library?,"['10', '12', '15', '20']",How many books are in the library? A) 10 B) 12 C) 15 D) 20. Answer:,C,Counting,,"[""books""]",,
00272-kA2nG18hCAr,0,How many books are in the library?,"['5', '3', '7', '2']",How many books are in the library? A) 5 B) 3 C) 7 D) 2. Answer:,A,Counting,,"[""books""]",,
00410-v7DzfFFEpsD,0,How many kitchen cabinets are in the kitchen area and the dining area?,"['4', '2', '5', '3']",How many kitchen cabinets are in the kitchen area and the dining area? A) 4 B) 2 C) 5 D) 3. Answer:,A,Counting,,"[""kitchen cabinets""]",,
00109-GTV2Y73Sn5t,1,How many books are in the library?,"['1', '2', '3', '4']",How many books are in the library? A) 1 B) 2 C) 3 D) 4. Answer:,A,Counting,,"[""books""]",,
00251-wsAYBFtQaL7,1,How many windows and doors are in the living room?,"['6', '4', '5', '3']",How many windows and doors are in the living room? A) 6 B) 4 C) 5 D) 3. Answer:,A,Counting,,"[""windows"", ""doors""]",,
00302-JFgrz9MNz4b,1,How many chairs and tables are in the dining area?,"['11', '10', '8', '12']",How many chairs and tables are in the dining area? A) 11 B) 10 C) 8 D) 12. Answer:,B,Counting,,"[""chairs"", ""tables""]",,
